Data File Name,2100 expert_High Sensitivity DNA Assay_DE72901941_2012-02-21_17-32-30.xad
Data File Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\data\2012-02-21
Date Created,"Tuesday, February 21, 2012 8:32:30 AM"
Date Last Modified,"Tuesday, February 21, 2012 9:00:42 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,6
 
Sample Name,sample1
Number of Events,2121
 
Time,Value
51.4,-0.901932
51.45,-0.7193292
51.5,-0.6731406
51.55,-0.6518739
51.6,-0.7948192
51.65,-0.9283206
51.7,-0.9052345
51.75,-0.9138554
51.8,-0.8139467
51.85,-0.8327972
51.9,-0.8092442
51.95,-0.6842402
52,-0.6115814
52.05,-0.5370746
52.1,-0.5384794
52.15,-0.5541921
52.2,-0.6229354
52.25,-0.6030998
52.3,-0.5011453
52.35,-0.5566848
52.4,-0.546326
52.45,-0.4751292
52.5,-0.4794174
52.55,-0.4049186
52.6,-0.4198443
52.65,-0.3776668
52.7,-0.3581912
52.75,-0.4190969
52.8,-0.4165442
52.85,-0.420331
52.9,-0.4319309
52.95,-0.429816
53,-0.4057603
53.05,-0.2997209
53.1,-0.1742561
53.15,5.920745E-02
53.2,0.2966223
53.25,0.4764259
53.3,0.4716775
53.35,0.2404619
53.4,0.107463
53.45,-0.1939359
53.5,-4.946805E-02
53.55,0.1866123
53.6,0.7444615
53.65,1.342691
53.7,1.6245
53.75,1.814795
53.8,1.946251
53.85,2.033348
53.9,2.169451
53.95,2.328239
54,2.585837
54.05,2.719146
54.1,2.630174
54.15,2.438407
54.2,2.20062
54.25,1.867798
54.3,1.54821
54.35,1.337791
54.4,1.238371
54.45,1.099584
54.5,1.069134
54.55,1.099959
54.6,1.080136
54.65,0.9532416
54.7,0.9558097
54.75,1.009639
54.8,1.12912
54.85,1.32269
54.9,1.569561
54.95,1.78637
55,1.824769
55.05,1.592983
55.1,1.304687
55.15,1.093191
55.2,0.9580857
55.25,0.9441059
55.3,1.057982
55.35,1.125214
55.4,1.116888
55.45,1.17231
55.5,1.241875
55.55,1.222021
55.6,1.340674
55.65,1.484049
55.7,1.551223
55.75,1.605693
55.8,1.711396
55.85,1.714736
55.9,1.68702
55.95,1.740175
56,1.725014
56.05,1.668508
56.1,1.708237
56.15,1.799023
56.2,1.859781
56.25,2.028676
56.3,2.2383
56.35,2.329147
56.4,2.32658
56.45,2.351336
56.5,2.399468
56.55,2.490951
56.6,2.732031
56.65,2.87746
56.7,2.955169
56.75,2.840134
56.8,2.734442
56.85,2.561097
56.9,2.617379
56.95,2.694115
57,2.86292
57.05,3.107602
57.1,3.328266
57.15,3.517897
57.2,3.71767
57.25,3.854562
57.3,3.996097
57.35,4.322041
57.4,4.755732
57.45,5.15054
57.5,5.604892
57.55,5.879394
57.6,5.954347
57.65,5.915905
57.7,5.837632
57.75,5.440087
57.8,4.913461
57.85,4.613142
57.9,4.362512
57.95,4.016047
58,3.817396
58.05,3.742008
58.1,3.560189
58.15,3.386251
58.2,3.292843
58.25,3.258497
58.3,3.223504
58.35,3.183305
58.4,3.174886
58.45,3.209389
58.5,3.283494
58.55,3.435243
58.6,3.623853
58.65,3.757981
58.7,3.739009
58.75,3.622579
58.8,3.661463
58.85,3.747368
58.9,3.778822
58.95,3.783145
59,3.78405
59.05,3.803167
59.1,3.761267
59.15,3.927326
59.2,4.182148
59.25,4.381084
59.3,4.442363
59.35,4.335555
59.4,4.147506
59.45,4.020487
59.5,4.098834
59.55,4.278716
59.6,4.41096
59.65,4.562281
59.7,4.635864
59.75,4.655282
59.8,4.620702
59.85,4.640512
59.9,4.752758
59.95,4.98918
60,5.354817
60.05,5.652702
60.1,5.782152
60.15,5.966254
60.2,5.99648
60.25,6.030317
60.3,5.97434
60.35,5.856911
60.4,5.795598
60.45,5.87431
60.5,6.041084
60.55,6.08304
60.6,5.952187
60.65,5.846922
60.7,5.824826
60.75,5.912249
60.8,6.172321
60.85,6.510427
60.9,6.830909
60.95,7.111388
61,7.497579
61.05,7.843189
61.1,8.125123
61.15,8.301977
61.2,8.432844
61.25,8.289657
61.3,8.123721
61.35,7.936245
61.4,7.873516
61.45,7.915957
61.5,8.070167
61.55,8.173803
61.6,8.176881
61.65,8.152228
61.7,8.069327
61.75,8.010463
61.8,8.006269
61.85,7.82342
61.9,7.74965
61.95,7.76128
62,7.885774
62.05,8.005628
62.1,7.940428
62.15,7.971006
62.2,8.110836
62.25,8.207849
62.3,8.570979
62.35,8.793426
62.4,8.887177
62.45,8.838965
62.5,8.746089
62.55,8.852123
62.6,9.07744
62.65,9.39854
62.7,9.661428
62.75,9.828027
62.8,10.04554
62.85,10.3224
62.9,10.77612
62.95,11.02987
63,11.09015
63.05,11.05126
63.1,10.8185
63.15,10.51805
63.2,10.5452
63.25,10.84445
63.3,11.12263
63.35,11.35586
63.4,11.63268
63.45,11.77644
63.5,11.68857
63.55,11.75383
63.6,12.0104
63.65,12.25379
63.7,12.41035
63.75,12.69528
63.8,13.15966
63.85,13.60367
63.9,13.83774
63.95,14.01264
64,14.01303
64.05,14.15915
64.1,14.13315
64.15,14.37999
64.2,14.43176
64.25,14.43384
64.3,14.65393
64.35,15.05034
64.4,15.34171
64.45,15.45252
64.5,15.67908
64.55,15.91771
64.6,16.06794
64.65,16.24122
64.7,16.39242
64.75,16.48905
64.8,16.69632
64.85,17.26095
64.9,17.72538
64.95,17.96648
65,18.10137
65.05,18.2221
65.1,18.44397
65.15,18.63619
65.2,18.64286
65.25,18.57671
65.3,18.15097
65.35,18.07316
65.4,18.23941
65.45,18.50663
65.5,18.88752
65.55,18.84834
65.6,18.71596
65.65,18.75127
65.7,18.88612
65.75,19.1768
65.8,19.31499
65.85,19.39341
65.9,19.58343
65.95,19.82355
66,20.26852
66.05,20.60596
66.1,21.11658
66.15,21.34625
66.2,21.70525
66.25,22.12531
66.3,22.31489
66.35,22.21165
66.4,22.32351
66.45,22.45904
66.5,22.67501
66.55,22.75685
66.6,23.21412
66.65,23.43532
66.7,23.61675
66.75,23.7168
66.8,24.02234
66.85,24.27449
66.9,24.54788
66.95,24.88669
67,25.41892
67.05,26.00257
67.1,26.47936
67.15,26.91769
67.2,27.26529
67.25,27.65123
67.3,27.85038
67.35,28.20534
67.4,28.56158
67.45,28.52737
67.5,28.12259
67.55,27.80116
67.6,27.84075
67.65,27.81674
67.7,27.8676
67.75,28.13463
67.8,28.33632
67.85,28.65655
67.9,28.96802
67.95,29.39619
68,29.68358
68.05,29.74596
68.1,29.47957
68.15,29.34769
68.2,29.91811
68.25,30.25762
68.3,30.21643
68.35,30.05851
68.4,29.88741
68.45,29.72717
68.5,29.96201
68.55,30.33964
68.6,30.52381
68.65,30.20677
68.7,30.45534
68.75,30.69699
68.8,30.917
68.85,31.07314
68.9,30.77574
68.95,30.67414
69,30.86032
69.05,31.43669
69.1,32.04018
69.15,32.60994
69.2,33.28997
69.25,33.60776
69.3,33.90936
69.35,34.1133
69.4,34.12758
69.45,34.08751
69.5,33.98399
69.55,34.00147
69.6,34.59862
69.65,35.33664
69.7,36.03008
69.75,36.56102
69.8,36.66293
69.85,36.67129
69.9,36.71431
69.95,36.89873
70,37.31529
70.05,37.62186
70.1,37.81744
70.15,37.91762
70.2,38.04361
70.25,38.24561
70.3,38.32918
70.35,38.3919
70.4,38.60672
70.45,39.25285
70.5,40.22441
70.55,41.02662
70.6,41.7274
70.65,42.23253
70.7,42.64505
70.75,42.83838
70.8,43.43989
70.85,43.93851
70.9,44.45986
70.95,45.22443
71,45.97345
71.05,46.44698
71.1,46.71837
71.15,46.98806
71.2,47.04179
71.25,46.98043
71.3,47.11919
71.35,47.47
71.4,48.00877
71.45,48.40826
71.5,48.90398
71.55,49.15299
71.6,49.59015
71.65,49.52282
71.7,49.75558
71.75,50.12496
71.8,50.25109
71.85,50.45979
71.9,50.96239
71.95,51.564
72,52.05548
72.05,52.68616
72.1,53.24053
72.15,53.34934
72.2,53.31532
72.25,53.49378
72.3,53.87651
72.35,53.97541
72.4,53.94037
72.45,53.33728
72.5,52.62029
72.55,52.49564
72.6,52.8009
72.65,53.42097
72.7,54.55023
72.75,55.82478
72.8,57.07178
72.85,57.53906
72.9,58.52079
72.95,59.48168
73,60.07966
73.05,60.85241
73.1,62.10915
73.15,63.32203
73.2,63.92347
73.25,64.10868
73.3,63.94865
73.35,63.32443
73.4,62.57223
73.45,61.95815
73.5,60.74847
73.55,59.27048
73.6,57.85907
73.65,57.07629
73.7,56.40203
73.75,56.29509
73.8,56.17656
73.85,55.69898
73.9,55.43696
73.95,55.19479
74,54.81369
74.05,54.81388
74.1,55.05326
74.15,55.29004
74.2,55.68972
74.25,56.33669
74.3,56.75956
74.35,56.90088
74.4,57.56649
74.45,58.43121
74.5,59.12318
74.55,59.64533
74.6,60.01754
74.65,60.22988
74.7,60.38077
74.75,60.80262
74.8,60.49928
74.85,59.95544
74.9,59.75452
74.95,59.51076
75,59.54085
75.05,59.47055
75.1,59.60394
75.15,59.14143
75.2,58.42671
75.25,57.87966
75.3,57.49605
75.35,57.39949
75.4,57.60597
75.45,57.87493
75.5,57.79417
75.55,57.78338
75.6,58.03513
75.65,58.17582
75.7,58.51313
75.75,59.04995
75.8,59.05009
75.85,59.08401
75.9,59.65258
75.95,60.34771
76,60.28405
76.05,59.68299
76.1,59.10401
76.15,58.97696
76.2,59.50399
76.25,60.56792
76.3,61.51635
76.35,61.43475
76.4,61.14785
76.45,61.3595
76.5,61.77752
76.55,62.16536
76.6,62.33228
76.65,62.66629
76.7,62.91945
76.75,63.41195
76.8,63.47363
76.85,63.4577
76.9,63.26323
76.95,63.59443
77,63.84722
77.05,64.00186
77.1,64.35058
77.15,64.27427
77.2,63.63197
77.25,63.25534
77.3,62.7582
77.35,62.14135
77.4,61.40988
77.45,61.15218
77.5,60.90418
77.55,60.47165
77.6,60.32715
